id,timestamp,sensor_id,total
68809,8/18/2020 3:56,277,115
68810,8/18/2020 3:56,283,115
68811,8/18/2020 4:01,265,9
68812,8/18/2020 4:01,277,119
68813,8/18/2020 4:01,283,119
68814,8/18/2020 4:06,265,9
68815,8/18/2020 4:06,277,124
68816,8/18/2020 4:06,283,124
68817,8/18/2020 4:11,265,9
68818,8/18/2020 4:11,277,127
68819,8/18/2020 4:11,283,127
68820,8/18/2020 4:16,265,10
68821,8/18/2020 4:16,277,131
68822,8/18/2020 4:16,283,131
68823,8/18/2020 4:21,265,10
68824,8/18/2020 4:21,277,137
68825,8/18/2020 4:21,283,137
68826,8/18/2020 4:26,265,10
68827,8/18/2020 4:26,277,140
68828,8/18/2020 4:26,283,140
76571,8/26/2020 12:43,265,30
77106,8/26/2020 15:37,277,634
77642,8/28/2020 12:29,265,26
78215,8/31/2020 12:13,283,125
78216,8/31/2020 12:15,306,0
78779,8/31/2020 15:59,277,345
79322,8/31/2020 19:37,265,20
79895,8/31/2020 23:27,306,0
80453,9/1/2020 3:09,277,0
80999,9/1/2020 6:47,283,0
81548,9/1/2020 10:29,277,293
82115,9/1/2020 14:17,265,40
82666,9/1/2020 18:27,277,736
83235,9/1/2020 22:15,271,885
83782,9/2/2020 1:53,283,4
84325,9/2/2020 5:31,271,82
68142,8/17/2020 9:26,265,31
68143,8/17/2020 9:26,277,319
68144,8/17/2020 9:26,283,319
68829,8/18/2020 4:31,265,10
68830,8/18/2020 4:31,277,141
68831,8/18/2020 4:31,283,141
68832,8/18/2020 4:36,265,10
68833,8/18/2020 4:36,277,144
68834,8/18/2020 4:36,283,144
68835,8/18/2020 4:41,265,11
68836,8/18/2020 4:41,277,147
68837,8/18/2020 4:41,283,147
68838,8/18/2020 4:46,265,11
68839,8/18/2020 4:46,277,150
68840,8/18/2020 4:46,283,150
68841,8/18/2020 4:51,265,11
68842,8/18/2020 4:51,277,153
68843,8/18/2020 4:51,283,153
68844,8/18/2020 4:56,265,11
68845,8/18/2020 4:56,277,158
68846,8/18/2020 4:56,283,158
68847,8/18/2020 5:01,265,11
68848,8/18/2020 5:01,277,162
68849,8/18/2020 5:01,283,162
68850,8/18/2020 5:06,265,12
68851,8/18/2020 5:06,277,167
68852,8/18/2020 5:06,283,167
68853,8/18/2020 5:11,265,12
68854,8/18/2020 5:11,277,168
68855,8/18/2020 5:11,283,168
68856,8/18/2020 5:16,265,12
68857,8/18/2020 5:16,277,170
68858,8/18/2020 5:16,283,170
68859,8/18/2020 5:21,265,12
68860,8/18/2020 5:21,277,171
68861,8/18/2020 5:21,283,171
68862,8/18/2020 5:26,265,12
68863,8/18/2020 5:26,277,173
68864,8/18/2020 5:26,283,173
76572,8/26/2020 12:43,265,30
77107,8/26/2020 15:37,283,299
77643,8/28/2020 12:29,271,26
78217,8/31/2020 12:15,265,20
78780,8/31/2020 15:59,283,125
79323,8/31/2020 19:37,271,345
79896,8/31/2020 23:27,265,0
80454,9/1/2020 3:09,283,0
81000,9/1/2020 6:49,306,0
81549,9/1/2020 10:29,283,141
82116,9/1/2020 14:17,271,485
82667,9/1/2020 18:27,283,379
83236,9/1/2020 22:15,277,885
83783,9/2/2020 1:55,306,0
84326,9/2/2020 5:31,277,82
68145,8/17/2020 9:31,265,31
68146,8/17/2020 9:31,277,323
68147,8/17/2020 9:31,283,323
68865,8/18/2020 5:31,265,13
68866,8/18/2020 5:31,277,179
68867,8/18/2020 5:31,283,179
68868,8/18/2020 5:36,265,14
68869,8/18/2020 5:36,277,182
68870,8/18/2020 5:36,283,182
68871,8/18/2020 5:41,265,14
68872,8/18/2020 5:41,277,183
68873,8/18/2020 5:41,283,183
68874,8/18/2020 5:46,265,14
68875,8/18/2020 5:46,277,184
68876,8/18/2020 5:46,283,184
68877,8/18/2020 5:51,265,15
68878,8/18/2020 5:51,277,187
68879,8/18/2020 5:51,283,187
68880,8/18/2020 5:56,265,15
68881,8/18/2020 5:56,277,191
68882,8/18/2020 5:56,283,191
68883,8/18/2020 6:01,265,15
68884,8/18/2020 6:01,277,193
68885,8/18/2020 6:01,283,193
68886,8/18/2020 6:06,265,15
68887,8/18/2020 6:06,277,197
68888,8/18/2020 6:06,283,197
68889,8/18/2020 6:11,265,15
68890,8/18/2020 6:11,277,202
68891,8/18/2020 6:11,283,202
68892,8/18/2020 6:16,265,15
68893,8/18/2020 6:16,277,206
68894,8/18/2020 6:16,283,206
68895,8/18/2020 6:21,265,15
68896,8/18/2020 6:21,277,207
68897,8/18/2020 6:21,283,207
68898,8/18/2020 6:26,265,15
68899,8/18/2020 6:26,277,210
68900,8/18/2020 6:26,283,210
68901,8/18/2020 6:31,265,15
